# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
<p>There are 3 variables that could be used within the endpoint,result key and in values of the parameter.</p>
"<p>To allow over-billing"",""please set allowance in  ccounts Settings.</p>","</p> <p>Pour autoriser la surfacturation, veuillez définir une allocation dans les paramètres des comptes."
<p>Trois variables peuvent être utilisées dans le point final,la clé de résultat et les valeurs du paramètre.</p>
<pre><code>Bonjour {{ customer.customer_name }},<br>Vous trouverez en pièce-jointe vos relevés de comptes du {{ doc.from_date }} au {{ doc.to_date }}.</code> </pre></li>
<pre><code>Hello {{ customer.customer_name }},<br>PF  your Statement Of  ccounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
"<span class=""""h4""""><b>Masters &amp; Reports</b></span>","<span class=""""h4""""><b>Rapports & Fonctionnalités principales</b></span>"
"<span class=""""h4""""><b>Quick  ccess</b></span>","<span class=""""h4""""><b> ccès Rapide</b></span>"
"<span class=""""h4""""><b>Reports &amp; Masters</b></span>","<span class=""""h4""""><b>Rapports et Pages principales</b></span>"
"<span class=""""h4""""><b>Shortcuts</b></span>","<span class=""""h4""""><b>Raccourcis</b></span>"
"<span class=""""h4""""><b>Your Shortcuts</b></span>","<span class=""""h4""""><b>Vos raccourcis</b></span>"
"<span style=""""font-size: 18px;""""><b>Masters &amp; Reports</b></span>","<span style=""""font-size: 18px;""""><b>Rapports & Fonctionnalités principales</b></span>"
<strong>Grand Total:</strong> {0},<strong>Total Général :</strong> {0}
<strong>Outstanding  mount:</strong> {0},<strong>Montant Impayé :</strong> {0}
<td> <td>Pour accéder à un champ de document,utiliser doc.fieldname
Agents d'exécution,Agents d'exécution
Agents de maîtrise,Agents de maîtrise
B Negative,B Négatif
B Positive,B Positif
B+,B+
B-,B-
B2C Limit,Limite B2C
BIN Qty,Quantité B C
BMI,IMC
BMI:,IMC:
BOM,Nomenclature
BOM 1,BOM 1
BOM 1 {0} and BOM 2 {1} should not be same,La nomenclature 1 {0} et la nomenclature 2 {1} ne doivent pas être identiques
BOM 2,BOM 2
BOM Browser,Explorateur Nomenclature
BOM Comparison Tool,Outil de comparaison de nomenclature
BOM Created,Nomenclature créée
BOM Creator,Créateur de nomenclature
BOM Creator Item,Créateur de nomenclature d'article
BOM Detail No,N° de Détail de la nomenclature
BOM Explorer,Explorateur de nomenclature
BOM Explosion Item,rticle Eclaté en nomenclature
BOM ID,ID de nomenclature
BOM Info,Informations sur la nomenclature
BOM Item,rticle de la nomenclature
BOM Item Code,Code article de la nomenclature
BOM Level,Niveau de nomenclature
BOM No,N° Nomenclature
BOM No. for a Finished Good Item,N° de nomenclature pour un d’ rticle (Produit Fini)
BOM Operation,Opération de la nomenclature (gamme)
BOM Operations Time,Temps de fonctionnement de la nomenclature
BOM Qty,Quantité de nomenclature
BOM Rate,Cout nomenclature
BOM Scrap Item,rticle Mis au Rebut dans la nomenclature
BOM Search,Recherche nomenclature
BOM Stock Calculated,Stock calculé par nomenclature
BOM Stock Report,Rapport de Stock des nomenclatures
BOM Tree,rborescence de la nomenclature
BOM UoM,UdM de la nomenclature
BOM Update Batch,Mise à jour en lot des nomenclatures
BOM Update Initiated,Mise à jour de la nomenclature lancée
BOM Update Log,Journal de mise à jour de la nomenclature
BOM Update Tool,Outil de mise à jour des Nomenclatures
BOM Update Tool Log with job status maintained,Journal de l'outil de mise à jour de nomenclature avec statut de tâche maintenu
BOM Updation already in progress. Please wait until {0} is complete.,Mise à jour de nomenclature déjà en cours. Veuillez attendre que {0} soit terminé.
BOM Updation is queued and may take a few minutes. Check {0} for progress.,La mise à jour de nomenclature est en file d'attente et peut prendre quelques minutes. Vérifiez {0} pour le progrès.
BOM Variance Report,Rapport de variance par nomenclature
BOM Website Item,rticle de nomenclature du Site Internet
BOM Website Operation,Opération de nomenclature du Site Internet
BOM and Manufacturing Quantity are required,Nomenclature et quantité de production sont nécessaires
BOM and Production,Nomenclature et Production
BOM does not contain any stock item,Nomenclature ne contient aucun article en stock
BOM recursion: {0} cannot be child of {1},Récursion de nomenclature: {0} ne peut pas être enfant de {1}
BOM recursion: {0} cannot be parent or child of {1},Récursion de nomenclature: {0} ne peut pas être le parent ou l'enfant de {1}
BOM recursion: {1} cannot be parent or child of {0},Récursion de nomenclature : {1} ne peut pas être parent ou enfant de {0}
BOM with name {0} already exists for item {1}.,Une nomenclature portant le nom {0} existe déjà pour l'article {1}.
BOM {0} does not belong to Item {1},Nomenclature {0} n’appartient pas à l'article {1}
BOM {0} must be active,Nomenclature {0} doit être active
BOM {0} must be submitted,Nomenclature {0} doit être soumise
BOMs Updated,Nomenclatures mises à jour
BOMs created successfully,Nomenclatures créées avec succès
BOMs creation failed,Échec de création des Nomenclatures
BOMs creation has been enqueued,"kindly check the status after some time"",La création des nomenclatures a été mise en file d'attente veuillez vérifier le statut après un certain temps"
BP:,BP:
BR,BR
Back to,Retour à
Back to Course,Retour aux cours
Back to Messages,Retour aux messages
Backdated Leave  pplication is restricted. Please set the {} in {},La demande de congé rétrodatée est restreinte. Veuillez définir {} dans {}
Backdated Stock Entry,Entrée de stock antidatée
Backflush Raw Materials,Matières premières de backflush
Backflush Raw Materials Based On,Enregistrer les Matières Premières sur la Base de
Backflush Raw Materials From Work-in-Progress Warehouse,Rembourrage des matières premières dans l'entrepôt de travaux en cours
Backflush Raw Materials of Subcontract Based On,Sortir rétroactivement les matières premières d'un contrat de sous-traitance sur la base de
Balance,Solde
Balance (Dr - Cr),Balance (Dr - Cr)
Balance ({0}),Solde ({0})
Balance Details,Détails du solde
Balance In  ccount Currency,Solde dans la devise du compte
Balance In Base Currency,Solde en devise de base
Balance Qty,Solde de la Qté
Balance Qty (Stock),Quantité de solde (stock)
Balance Serial No,Numéro de série de la balance
Balance Sheet,Bilan
Balance Sheet Summary,Résumé du bilan
Balance Stock Value,Valeur Stock Solde
Balance Value,Valeur du solde
Balance for  ccount {0} must always be {1},Solde pour le compte {0} doit toujours être {1}
Balance must be,Solde doit être
Bank,Banque
Bank  /C No.,N° de Compte Bancaire
Bank  ccount,Compte bancaire
Bank  ccount Details,Détails de compte en banque
Bank  ccount Info,Informations sur le compte bancaire
Bank  ccount No,No de compte bancaire
Bank  ccount No.,N° de Compte Bancaire
Bank  ccount Subtype,Sous-type de compte bancaire
Bank  ccount Type,Type de compte bancaire
Bank  ccount {} in Bank Transaction {} is not matching with Bank  ccount {},Le Compte Bancaire {} dans la Transaction Bancaire {} ne correspond pas au Compte Bancaire {}
Bank  ccounts,Comptes bancaires
Bank / Cash  ccount,Compte Bancaire / de Caisse
Bank Balance,Solde Bancaire
Bank Charges,Frais bancaires
Bank Charges  ccount,Compte de frais bancaires
Bank Clearance,Rapprochement Bancaire
Bank Clearance Detail,Détail de l'apurement bancaire
Bank Clearance Summary,Bilan des Compensations Bancaires
Bank Credit Balance,Solde bancaire
Bank Data,Données bancaires
Bank Data mapper doesn't exist,Bank Data Mapper n'existe pas
Bank Details,Coordonnées bancaires
Bank Draft,Traite bancaire
Bank Entries,Écritures Bancaires
Bank Entry,Écriture Bancaire
Bank Guarantee,Garantie Bancaire
Bank Guarantee Number,Numéro de Garantie Bancaire
Bank Guarantee Type,Type de garantie bancaire
Bank Header,En-tête de la banque
Bank Name,Nom de la Banque
Bank Overdraft  ccount,Compte de découvert bancaire
Bank Reconciliation,Réconciliation Bancaire
Bank Reconciliation Detail,Détail de la Réconciliation Bancaire
Bank Reconciliation Statement,Relevé de Réconciliation Bancaire
Bank Reconciliation Tool,Outil de réconcialiation d'écritures bancaires
Bank Remittance,Virement bancaire
Bank Statement,Relevé bancaire
Bank Statement Import,Importation de relevés bancaires
Bank Statement Settings,Paramètres de relevé bancaire
Bank Statement Settings Item,Élément de paramétrage du relevé bancaire
Bank Statement Transaction Entry,Transaction bancaire
Bank Statement Transaction Invoice Item,Poste de facture d'une transaction bancaire
Bank Statement Transaction Payment Item,Poste de paiement d'une transaction bancaire
Bank Statement Transaction Settings Item,Paramètre de transaction bancaire
Bank Statement balance as per General Ledger,Solde du Relevé Bancaire d’après le Grand Livre
Bank Transaction,Transaction bancaire
Bank Transaction Entries,Ecritures de transactions bancaires
Bank Transaction Mapping,Cartographie des transactions bancaires
Bank Transaction Payments,Paiements bancaires
Bank Transaction {0} Matched,Transaction bancaire {0} correspondante
Bank Transaction {0} added as Journal Entry,La transaction bancaire {0} a été ajoutée en tant qu'écriture de journaux
Bank Transaction {0} added as Payment Entry,La transaction bancaire {0} a été ajoutée en tant qu'entrée de paiement
Bank Transaction {0} is already fully reconciled,La transaction bancaire {0} est déjà entièrement réconciliée
Bank Transaction {0} updated,Transaction bancaire {0} mise à jour
Bank account '{0}' has been synchronized,Le compte bancaire '{0}' a été synchronisé
Bank account cannot be named as {0},Compte Bancaire ne peut pas être nommé {0}
Bank account {0} already exists and could not be created again,Le compte bancaire {0} existe déjà et n'a pas pu être créé à nouveau.
Bank accounts added,Comptes bancaires ajoutés
Bank transaction creation error,Erreur de création de transaction bancaire
Bank/Cash  ccount,Compte bancaire/espèces
Bank/Cash  ccount {0} doesn't belong to company {1},Le compte banque/caisse {0} n'appartient pas à l'entreprise {1}
Bank/Cash transactions against party or for internal transfer,Transactions Bancaires/de Trésorerie avec un tiers ou pour transfert interne
Banking,Banque
Banking and Payments,Banque et paiements
Barcode,code à barre
Barcode Type,Type de code-barres
Barcode {0} already used in Item {1},Le Code Barre {0} est déjà utilisé dans l'article {1}
Barcode {0} is not a valid {1} code,Le code-barres {0} n'est pas un code {1} valide
Barcodes,Codes-barres
Barnch,Barnch
Base,Base
Base  mount,Montant de base
Base  mount (Company Currency),Montant de Base (Devise de la Société)
Base Change  mount (Company Currency),Montant de Base à Rendre (Devise de la Société)
Base Cost Per Unit,Coût de base par unité
Base Hour Rate(Company Currency),Taux Horaire de Base (Devise de la Société)
Base Rate,Cout de base
Base Tax Withholding Net Total,Impôt retenu à la source sur le total net
Base Total,Total Net
Base Total Billable  mount,Montant Total Facturable de Base
Base Total Billed  mount,Montant total facturé de base
Base Total Costing  mount,Montant total de coût de base
Base URL,URL de base
Based On,Basé Sur
Based On Data ( in years ),Basé sur les données (en années)
Based On Document,Basé sur le document
Based On Payment Terms,Basé sur les conditions de paiement
Based On Price List,Basé sur la liste de prix
Based On Value,critére de restriction
Based on your HR Policy,"select your leave allocation period's start date"",Basé sur votre politique RH sélectionnez la date de début de période d'allocation de congés"
Basic  mount,Montant de Base
Basic  mount (Company Currency),Montant de Base (Devise de la Société)
Basic Component,Composant de base
Basic Details,Détails de base
Basic Rate,Prix de Base
Basic Rate (Company Currency),Prix de Base (Devise de la Société )
Basic Rate (as per Stock UOM),Prix de base (comme l’UdM du Stock)
"Basé sur valeur ex. : <b>reading_value in (""""","B"""", """"C"""")</b>"
Batch,Lot
Batch Description,Description du Lot
Batch Details,Détails du lot
Batch Entries,Entrées de lot
Batch Expiry Date,Date d'expiration du lot
Batch ID,ID du Lot
Batch ID is mandatory,Le N° du lot est obligatoire
Batch Identification,Identification par lots
Batch Inventory,Inventaire du Lot
Batch Item Expiry Status,Statut d'Expiration d' rticle du Lot
Batch Name,Nom du lot
Batch No,N° du Lot
Batch No is mandatory,Le numéro de lot est obligatoire
Batch No {0} does not exists,Le lot n° {0} n'existe pas
Batch No {0} is linked with Item {1} which has serial no. Please scan serial no instead.,Le numéro de lot {0} est lié à l'article {1} qui a un numéro de série. Veuillez scanner le numéro de série à la place.
"Batch No {0} is not present in the original {1} {2}"",""hence you can't return it against the {1} {2}","Le N° de Lot {0} n'est pas présent dans l'original {1} {2}, vous ne pouvez donc pas le retourner contre le {1} {2}"
Batch No.,N° du Lot.
Batch Nos,Numéros de lots
Batch Nos are created successfully,Les numéros de lot sont créés avec succès
Batch Not  vailable for Return,Lot non disponible pour le retour
Batch Number Series,Série de numéros de lots
Batch Qty,Qté du lot
Batch Quantity,Quantité par lots
Batch Size,Taille du lot
Batch UOM,UdM par lots
Batch and Serial No,N° de lot et de série
Batch no is required for batched item {0},Le numéro de lot est requis pour l'article en lot {0}.
Batch not created for item {} since it does not have a batch series.,Lot non créé pour l'article {} car il n'a pas de série de lots.
Batch number is mandatory for Item {0},Le numéro de lot est obligatoire pour l' rticle {0}
Batch {0} already selected.,Lot {0} déjà sélectionné.
Batch {0} and Warehouse,Lot {0} et entrepôt
Batch {0} is not available in warehouse {1},Le lot {0} n'est pas disponible dans l'entrepôt {1}
Batch {0} of Item {1} has expired.,Lot {0} de l' rticle {1} a expiré.
Batch {0} of Item {1} is disabled.,Le lot {0} de l'élément {1} est désactivé.
Batch-Wise Balance History,Historique de Balance des Lots
Batch:,Lot:
Batches,Lots
Batchwise Valuation,Évaluation par lot
Become a Seller,Devenir vendeur
Before reconciliation,vant la réconciliation
Begin On (Days),Commencer sur (jours)
Begin check-in before shift start time (in minutes),Commencez l'enregistrement avant l'heure de début du poste (en minutes)
Beginner,Débutant
Beginning of the current subscription period,Début de la période d'abonnement en cours
Below Subscription Plans are of different currency to the party default billing currency/Company currency: {0},Les plans d'abonnement ci-dessous sont d'une devise différente de la devise de facturation par défaut du tiers/devise de l'entreprise : {0}
Below is the list of upcoming holidays for you:,Voici la liste des jours fériés à venir pour vous:
Benefit,vantage
Benefit Type and  mount,Type de prestation et montant
Benefits,vantages
Benefits  pplied,Prestations demandées
Biennial,Biennal
Bill,Facture
Bill  mount,Montant de la facture
Bill Date,Date de la Facture
Bill No,Numéro de facture
Bill for Rejected Quantity in Purchase Invoice,Facturation de la quantité rejetée dans la facture d'achat
Bill of Materials,Nomenclatures
Bill of Materials (BOM),Nomenclature
Billable,Facturable
Billable Hours,Heures facturables
Billed,Facturé
Billed  mount,Montant facturé
Billed  mt,Mnt Facturé
Billed Hours,Heures facturées
Billed Hours (B),Heures facturées (B)
Billed Items To Be Received,rticles facturés à recevoir
Billed Qty,Quantité facturée
"Billed"",""Received & Returned","Facturé, reçu et retourné"
Billing  ddress,dresse de facturation
Billing  ddress Details,dresse de facturation (détails)
Billing  ddress GSTIN,dresse de facturation GSTIN
Billing  ddress Name,Nom de l' dresse de Facturation
Billing  ddress does not belong to the {0},L' dresse de Facturation n'appartient pas au {0}
